序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,TWD97_lon,TWD97_lat,is_indoor
1,新竹縣,,,121.073,24.386,五峰活動中心,大隘村、花園村、桃山村、竹林村,110,"水災,震災,土石流",張兒,03-5851001,是,否,是,257404.817068999,2697774.5500193727,True
2,金門縣烈嶼鄉,林湖村,東林24號,118.248571,24.428328,金門縣烈嶼鄉林湖村辦公處,林湖村,30,"水災,震災,土石流,海嘯",林妙玲,082-364503,是,否,是,-29071.526020820427,2705233.1037620646,True
3,新竹縣北埔鄉,南坑村,9鄰大南坑1-5號,121.0561,24.6725,南坑村集會所暨南外社區活動中心,南坑村、外坪村,20,"水災,震災,土石流",葉貴霖,03-5805355,否,否,否,255677.65224042838,2729505.0273858365,True
4,金門縣烏坵鄉,小坵村,無門牌號碼,119.47,24.98,烏坵鄉小坵村活動中心,小坵村,20,,莊金輝,82666056,否,否,否,95524.9230264625,2764433.4731077407,True
5,金門縣烏坵鄉,大坵村,1號,119.453178,24.988739,金門縣烏坵鄉公所大廳,烏坵鄉大坵村,30,,林文彩,0826-66056,否,否,否,93837.28163420851,2765420.9130113167,True
6,桃園市復興區,霞雲里,6鄰22-1號,121.406238,24.814018,霞雲社區活動中心,霞雲里,36,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否,291067.39639505884,2745239.2180717834,True
7,桃園市復興區,澤仁里,14鄰中正路168之1號,121.351987,24.820601,澤仁里辦公處,澤仁里,40,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否,285581.12778388226,2745953.1244394667,True
8,桃園市復興區,奎輝里,3鄰羅馬路3段355號,121.334302,24.797047,奎輝里活動中心,奎輝里,50,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否,283799.7867562293,2743339.784173266,True
9,桃園市復興區,高義里,6鄰48號,121.354462,24.706112,高義教會,高義里,61,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否,285864.1797536997,2733273.006491552,True
10,連江縣莒光鄉,大坪村,57-1號,119.977206,25.956666,東莒老人活動中心,大坪村,0,,曹以樹,0836-8914621,否,否,否,147569.526487154,2872146.683791422,True
12,連江縣莒光鄉,西坵村,莒光指揮部國軍文康中心,119.932125,25.97828,莒光指揮部國軍文康中心,西坵村,0,,朱永元指揮官,0836-89217,否,否,否,143073.99383602175,2874577.3225479866,True
14,連江縣莒光鄉,青帆村,1號,119.933712,25.969995,青帆老人活動中心,青帆村,150,,曹以樹,0836-89416,否,否,否,143225.42886700475,2873658.1438496024,True
15,連江縣莒光鄉,青帆村,18號,119.933934,25.970819,敬恆國中小禮堂,青帆村,200,,陳玉嬌,0836-88254,否,否,否,143248.40471074404,2873749.2522834926,True
16,連江縣莒光鄉,大坪村,4號,119.97711,25.957484,東莒國小綜合教室,大坪村,200,,林湘官,0836-89043203,否,否,否,147560.61989617505,2872237.382875466,True
18,桃園市觀音區,上大里,8鄰大湖路一段510號,121.147333,24.978234,上大社區活動中心,上大村、富源村、崙坪村,0,,魏秀有,919103049,否,否,否,264874.42183170986,2763374.8013829496,True
19,桃園市觀音區,武威里,4鄰武威一路10號,121.073317,25.028242,武威社區活動中心,武威村、三和村、保生村,0,,廖介文,972196113,否,否,否,257398.92637130877,2768907.7073457106,True
20,桃園市觀音區,塔腳里,4鄰塔腳路116號,121.154708,25.049298,塔腳社區活動中心,塔腳村、廣福村、保障村,0,,莊林乾,932948680,否,否,否,265610.00027445785,2771246.840429856,True
21,桃園市觀音區,廣福里,福山路二段403巷6號,121.153383,25.019018,廣福社區活動中心,廣福村、新坡村、草漯村,0,,陳秀鳳,4983945,否,否,否,265480.10721879674,2767892.797494156,True
22,桃園市觀音區,草新里,新生路1462號,121.142939,25.045941,草漯國民小學,草漯村、樹林村、保障村,100,,羅淑貞,4830160#51,否,否,否,264422.9020577828,2770873.7039513895,True
23,桃園市觀音區,上大里,8鄰大湖路一段540號,121.146755,24.979129,上大國民小學,上大村、富源村、崙坪村,100,,張秀琪,4901174#510,否,否,否,264815.9608934036,2763473.8698890503,True
24,桃園市觀音區,崙坪里,崙坪里297之1號,121.162676,24.999596,崙坪國民小學,崙坪村、大同村、上大村,100,,吳曉芬,4981286#51,否,否,否,266420.58264584944,2765742.6673660167,True
25,桃園市觀音區,富林里,大觀路三段466號,121.1285,25.062195,富林國民小學,富林村、廣興村、草漯村,100,,王文昌,4839049#51,否,否,否,262964.2593691941,2772672.5813974584,True
26,桃園市觀音區,樹林里,觀音鄉樹林村新村路二段十二號,121.128468,25.062176,樹林國民小學,樹林村、草漯村、富林村,100,,張麗君,4830414#51,否,否,否,262961.0329108486,2772670.4738353062,True
27,桃園市觀音區,觀音里,觀新路56號,121.083597,25.028281,觀音區公所綠資源中心,觀音村、三和村、武威村,0,,許誌峰,925629102,否,否,否,258436.35016597094,2768912.6280745813,True
