測站名稱,所在縣市,TWD97_lat_度,TWD97_lon_度,WGS84_lat,WGS84_lon,TWD97_lat_公尺,TWD97_lon_公尺,距離台北車站_TWD97(公里),AQI,主要污染物,空氣品質狀態
基隆,基隆市,25.129167,121.760056,25.129167,121.760056,2780300.339052139,326641.09467181226,26.12,49,,良好
汐止,新北市,25.06624,121.64081,25.06624,121.64081,2773267.629825981,314649.506412384,12.66,39,,良好
新店,新北市,24.977222,121.537778,24.977222,121.537778,2763362.228817611,304293.82873006235,8.09,35,,良好
土城,新北市,24.982528,121.451861,24.982528,121.451861,2763918.3078180472,295617.60146832315,9.77,29,,良好
板橋,新北市,25.012972,121.458667,25.012972,121.458667,2767292.7151511163,296293.3025872601,7.04,38,,良好
新莊,新北市,25.037972,121.4325,25.037972,121.4325,2770053.136177627,293643.3889621338,8.6,33,,良好
菜寮,新北市,25.06895,121.481028,25.06895,121.481028,2773500.940727658,298528.1999959238,4.32,36,,良好
林口,新北市,25.07798949,121.36548982,25.07798949,121.36548982,2774465.7091687396,286869.3802146126,15.65,43,,良好
淡水,新北市,25.1645,121.449239,25.1645,121.449239,2784073.575876343,295285.9191298977,14.62,42,,良好
士林,臺北市,25.10334003,121.51666356,25.10334003,121.51666356,2777323.4495638534,302108.76720317523,6.15,38,,良好
中山,臺北市,25.062361,121.526528,25.062361,121.526528,2772788.2064780644,303121.3595130353,1.88,40,,良好
萬華,臺北市,25.046503,121.507972,25.046503,121.507972,2771024.5286479024,301255.80917824066,0.92,38,,良好
古亭,臺北市,25.020608,121.529556,25.020608,121.529556,2768164.6079196273,303444.9529641764,3.27,33,,良好
松山,臺北市,25.05,121.578611,25.05,121.578611,2771440.492308455,308381.9745320339,6.22,34,,良好
大同,臺北市,25.06331455,121.51342074,25.06331455,121.51342074,2772888.74310673,301798.5452219727,1.76,55,二氧化氮,普通
桃園,桃園市,24.9947107,121.30500531,24.9947107,121.30500531,2765226.338061718,280788.6465897548,22.19,36,,良好
大園,桃園市,25.06100357,121.20251473,25.06100357,121.20251473,2772549.7521221656,270431.75862755673,31.76,56,細懸浮微粒,普通
觀音,桃園市,25.03556747,121.08283092,25.03556747,121.08283092,2769719.6471789186,258358.546030604,43.83,55,細懸浮微粒,普通
平鎮,桃園市,24.952786,121.203986,24.952786,121.203986,2760563.541073648,270598.2355287872,33.3,42,,良好
龍潭,桃園市,24.86400048,121.21645772,24.86400048,121.21645772,2750731.5209656716,271873.26426329766,36.54,35,,良好
湖口,新竹縣,24.90009696,121.03886894,24.90009696,121.03886894,2754712.757225775,253926.59732824127,50.97,38,,良好
竹東,新竹縣,24.74091408,121.08895493,24.74091408,121.08895493,2737084.1601841734,258997.84999213036,55.0,39,,良好
新竹,新竹市,24.8056356,120.97236752,24.8056356,120.97236752,2744249.9744344926,247206.40569957558,61.2,34,,良好
頭份,苗栗縣,24.69690679,120.89869286,24.69690679,120.89869286,2732210.8797629587,239749.11115174607,73.58,37,,良好
苗栗,苗栗縣,24.56499183,120.82011468,24.56499183,120.82011468,2717608.56564194,231778.9492253926,88.45,35,,良好
三義,苗栗縣,24.38248443,120.75956754,24.38248443,120.75956754,2697404.368892931,225610.81130107882,106.31,32,,良好
豐原,臺中市,24.25699731,120.74252414,24.25699731,120.74252414,2683509.4543126184,223856.2203079968,117.55,34,,良好
沙鹿,臺中市,24.225628,120.568794,24.225628,120.568794,2680078.7732075104,206204.96415549965,132.31,41,,良好
大里,臺中市,24.09961111,120.67844444,24.09961111,120.67844444,2666092.299517356,217309.5388576875,135.06,31,,良好
忠明,臺中市,24.151958,120.641092,24.151958,120.641092,2671898.9472637475,213526.9717640942,133.09,31,,良好
西屯,臺中市,24.162197,120.616917,24.162197,120.616917,2673039.436346302,211073.33365798142,133.89,33,,良好
彰化,彰化縣,24.066,120.541519,24.066,120.541519,2662408.537522522,203376.89573501353,146.93,32,,良好
線西,彰化縣,24.131672,120.469061,24.131672,120.469061,2669707.7720817467,196036.00312938716,146.83,58,細懸浮微粒,普通
二林,彰化縣,23.925175,120.409653,23.925175,120.409653,2646862.074048468,189901.75652816618,167.5,80,懸浮微粒,普通
南投,南投縣,23.913,120.685306,23.913,120.685306,2645423.8435463314,217960.93253698957,151.34,38,,良好
斗六,雲林縣,23.711853,120.544994,23.711853,120.544994,2623186.349461272,203604.1386537862,177.8,150,,良好
崙背,雲林縣,23.757547,120.348742,23.757547,120.348742,2628324.5706305206,183615.4515039085,185.63,72,懸浮微粒,普通
新港,嘉義縣,23.554839,120.345531,23.554839,120.345531,2605876.7421358344,183185.2389972965,203.66,65,懸浮微粒,普通
朴子,嘉義縣,23.46538,120.2478,23.46538,120.2478,2596018.404660272,173155.62280723325,217.54,84,懸浮微粒,普通
臺西,雲林縣,23.702175,120.19933333,23.702175,120.19933333,2622269.8343913844,168350.70789038372,200.2,43,,良好
嘉義,嘉義市,23.46477865,120.44125148,23.46477865,120.44125148,2595861.774467562,192918.77639338406,206.56,61,細懸浮微粒,普通
新營,臺南市,23.305633,120.31725,23.305633,120.31725,2578292.0371229006,180167.1650966353,228.22,73,懸浮微粒,普通
善化,臺南市,23.11337642,120.29740529,23.11337642,120.29740529,2557010.934733078,178034.44936732372,247.53,76,懸浮微粒,普通
安南,臺南市,23.048197,120.2175,23.048197,120.2175,2549834.525583188,169810.90551133006,257.89,81,懸浮微粒,普通
臺南,臺南市,22.98928311,120.21947897,22.98928311,120.21947897,2543309.2959709596,169978.9596699702,263.43,84,懸浮微粒,普通
美濃,高雄市,22.883583,120.530542,22.883583,120.530542,2531468.757953798,201833.2378771451,259.85,67,細懸浮微粒,普通
橋頭,高雄市,22.757506,120.305689,22.757506,120.305689,2517598.5893367636,178696.85722248955,282.04,87,懸浮微粒,普通
仁武,高雄市,22.689056,120.332631,22.689056,120.332631,2510006.1008496936,181429.6845762222,287.72,83,懸浮微粒,普通
鳳山,高雄市,22.628126,120.357422,22.628126,120.357422,2503247.8990954068,183947.81662528054,292.85,83,懸浮微粒,普通
大寮,高雄市,22.56413611,120.425311,22.56413611,120.425311,2496133.69330557,190899.16196238034,296.69,86,懸浮微粒,普通
林園,高雄市,22.4795,120.41175,22.4795,120.41175,2486767.3291707644,189467.6618457139,305.92,80,懸浮微粒,普通
楠梓,高雄市,22.733667,120.328289,22.733667,120.328289,2514948.0797514343,181005.90271356842,283.43,88,懸浮微粒,普通
左營,高雄市,22.674861,120.292917,22.674861,120.292917,2508453.105266569,177341.5580078284,290.86,82,懸浮微粒,普通
