序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,TWD97_lon,TWD97_lat
693,高雄市彌陀區,漯底里,樂安路1號,0.0,22.764013,高雄市彌陀區南安國民小學（備用）,全區調度配合,100,"水災,震災,海嘯",鍾姮潔,07-6191810#40,是,否,是,-6596352.059663502,15647341.523418278
792,高雄市美濃區,吉洋里,南中街3號,0.0,22.866835,高雄市立南隆國民中學,清水里,2541,"水災,震災,土石流,海嘯",南隆國中,07-6831153,否,否,否,-6586193.097765826,15631749.262016179
810,高雄市旗山區,東平里,樹人路21號,0.0,22.8845,國立旗美高級中學（備用）,東平里、東昌里、廣福里,100,"水災,震災",庶務組組長唐瑞明,6612502＃510,是,否,是,-6584446.048718123,15629074.444284942
11,連江縣莒光鄉,福正村,1號,119.985351,25.961848,福正風景管理處,福正村,0,,曹鳳金,0836-89338,否,否,否,148389.73350260773,2872714.4334098464
13,連江縣莒光鄉,田沃村,52號,119.944922,25.972438,田沃老人活動中心,田沃村,0,,曹以樹,0836-89146,否,否,否,144350.2234166243,2873919.697652639
17,桃園市新屋區,石牌里,東興路二段568號,121.051297,26.0,石牌社區活動中心,石牌里,50,"水災,震災",江紘,4778168,是,否,是,255135.2252628993,2876547.8967834385
28,臺東縣臺東市,,營區位置恕不敘明,119.752122,27.0,空軍第737戰術戰鬥機聯隊,臺東縣異地收容,329,,王詳閩少校,089-223911-872103,否,否,否,126148.59523359717,2987943.899071018
33,桃園市新屋區,後庄里,東福路二段515號,121.011554,26.870923,後庄社區活動中心,後庄里,50,"水災,震災",江紘,4778168,是,否,是,251147.98264836593,2973030.9590049856
34,桃園市新屋區,望間里,4鄰十五間25號,121.065984,26.87753,望間社區活動中心,望間里,50,"水災,震災",江紘,4778168,是,否,是,256555.65985524448,2973764.6058525112
35,桃園市新屋區,社子里,7鄰3之1號,121.085281,26.886062,社子社區活動中心,社子里,50,水災,江紘,4778168,是,否,是,258472.22509902646,2974711.015858807
